vessel_record_id,ssvid,n_shipname,n_callsign,imo,flag,authorized_from,authorized_to,source_code
CCSBT-FV05460|IMO-8673475|TWN-CT6-1250,416625000,HUNGCHUAN232,BH3250,8673475,TWN,2016-04-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05460|IMO-8673475|TWN-CT6-1250,416625000,HUNGCHUAN232,BH3250,8673475,TWN,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV05460|IMO-8673475|TWN-CT6-1250,416625000,HUNGCHUAN232,BH3250,8673475,TWN,2020-02-27 00:00:00 UTC,2022-07-01 00:00:00 UTC,SIOFA
CCSBT-FV05461|TWN-CT6-1285|IMO-8649797,416059700,DEFU1,BH3285,8649797,TWN,2019-03-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05461|TWN-CT6-1285|IMO-8649797,416059700,DEFU1,BH3285,8649797,TWN,2019-01-04 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
CCSBT-FV05461|TWN-CT6-1285|IMO-8649797,416059700,DEFU1,BH3285,8649797,TWN,2020-02-27 00:00:00 UTC,2021-10-31 00:00:00 UTC,SIOFA
CCSBT-FV05461|TWN-CT6-1285|IMO-8649797,416059700,DEFU1,BH3285,8649797,TWN,2022-05-10 00:00:00 UTC,2022-07-01 00:00:00 UTC,SIOFA
CCSBT-FV05465|IATTC-14675|IMO-8431061|TWN-CT7-0407|WCPFC-10108,416741000,CHARNGFUYING,BI2407,8431061,TWN,2017-04-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,CCSBT
CCSBT-FV05465|IATTC-14675|IMO-8431061|TWN-CT7-0407|WCPFC-10108,416741000,CHARNGFUYING,BI2407,8431061,TWN,2019-05-01 00:00:00 UTC,2019-06-01 00:00:00 UTC,IATTC
CCSBT-FV05465|IATTC-14675|IMO-8431061|TWN-CT7-0407|WCPFC-10108,416741000,CHARNGFUYING,BI2407,8431061,TWN,2017-01-01 00:00:00 UTC,2022-07-01 00:00:00 UTC,IOTC
